Date	CampaignId	CampaignName	AdGroupId	AdGroupName	AdId	Impressions	Clicks	Ctr	Cost	AvgCpc	Conversions	Revenue
2026-09-05	118776779	Поиск Свадебные банкеты	5596541487	банкетный зал для свадьбы москва	17078756108	1	0	0.00	0.00	--	0	0.00
2026-09-05	118776779	Поиск Свадебные банкеты	5596541487	банкетный зал для свадьбы москва	17078756110	1	0	0.00	0.00	--	0	0.00
2026-09-05	700792063	Тест РСЯ банкет	5598457174	Банкеты	17085709723	41	1	2.44	0.63	0.63	0	0.00
2026-09-05	700792063	Тест РСЯ банкет	5598457174	Банкеты	17085709724	77	14	18.18	15.87	1.13	0	0.00
2026-09-05	700792063	Тест РСЯ банкет	5598457174	Банкеты	17085709725	3866	280	7.24	1711.76	6.11	2	0.00
2026-09-05	700792063	Тест РСЯ банкет	5598457174	Банкеты	17085709726	29	2	6.90	1.10	0.55	0	0.00
2026-09-05	700792063	Тест РСЯ банкет	5598457175	Баннеры	17085709727	26	0	0.00	0.00	--	0	0.00
2026-09-05	700792072	Тест РСЯ конференции	5598457234	аренда семинар	17085710057	1	0	0.00	0.00	--	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457300	провести корпоратив	17085710298	88	0	0.00	0.00	--	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457301	корпоративные мероприятия	17085710301	37	0	0.00	0.00	--	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457302	организация корпоратива	17085710304	441	4	0.91	27.37	6.84	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457303	корпоративный праздник	17085710305	9	0	0.00	0.00	--	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457303	корпоративный праздник	17085710306	865	21	2.43	208.12	9.91	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457303	корпоративный праздник	17085710307	15	0	0.00	0.00	--	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457304	проведение корпоратива	17085710308	28	0	0.00	0.00	--	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457304	проведение корпоратива	17085710309	126	0	0.00	0.00	--	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457305	ресторан для корпоратива	17085710311	32	0	0.00	0.00	--	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457307	отметить корпоратив	17085710317	17	0	0.00	0.00	--	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457307	отметить корпоратив	17085710318	36	0	0.00	0.00	--	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457308	корпоратив в центре	17085710321	804	6	0.75	72.65	12.11	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457310	корпоратив на 50 челоек	17085710326	161	0	0.00	0.00	--	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457310	корпоратив на 50 челоек	17085710327	1507	8	0.53	50.14	6.27	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457310	корпоратив на 50 челоек	17085710328	30	0	0.00	0.00	--	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457311	корпоратив на 100 челоек	17085710329	16	0	0.00	0.00	--	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457311	корпоратив на 100 челоек	17085710330	92	2	2.17	16.70	8.35	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457311	корпоратив на 100 челоек	17085710331	62	0	0.00	0.00	--	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457312	корпоратив на 150 челоек	17085710332	19	0	0.00	0.00	--	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457312	корпоратив на 150 челоек	17085710333	589	6	1.02	87.79	14.63	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457312	корпоратив на 150 челоек	17085710334	44	0	0.00	0.00	--	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457313	корпоратив на 200 челоек	17085710335	8615	410	4.76	2268.35	5.53	4	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457313	корпоратив на 200 челоек	17085710336	86	1	1.16	0.93	0.93	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457313	корпоратив на 200 челоек	17085710337	9	2	22.22	3.73	1.87	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457314	корпоратив на 250 челоек	17085710338	96	1	1.04	53.94	53.94	1	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457314	корпоратив на 250 челоек	17085710339	174	0	0.00	0.00	--	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457315	корпоратив на чистых прудах	17085710341	2	0	0.00	0.00	--	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457315	корпоратив на чистых прудах	17085710342	17	0	0.00	0.00	--	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457316	корпоратив на красных воротах	17085710344	4	1	25.00	1.27	1.27	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457316	корпоратив на красных воротах	17085710345	611	12	1.96	80.80	6.73	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457316	корпоратив на красных воротах	17085710346	104	2	1.92	13.36	6.68	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457317	корпоративы с караоке	17085710347	22	0	0.00	0.00	--	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457317	корпоративы с караоке	17085710348	48	0	0.00	0.00	--	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457317	корпоративы с караоке	17085710349	23	0	0.00	0.00	--	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457318	Баннеры	17085710350	8	1	12.50	4.71	4.71	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457318	Баннеры	17085710351	1	0	0.00	0.00	--	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457318	Баннеры	17085710352	6	0	0.00	0.00	--	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457321	корпоратив 30	17085710360	7	0	0.00	0.00	--	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457321	корпоратив 30	17085710361	5	0	0.00	0.00	--	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457321	корпоратив 30	17085710362	118	0	0.00	0.00	--	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457322	корпоратив 40	17085710363	132	2	1.52	11.04	5.52	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457322	корпоратив 40	17085710364	257	10	3.89	79.03	7.90	0	0.00
2026-09-05	700792082	Тест РСЯ Корпоративы	5598457322	корпоратив 40	17085710365	109	2	1.83	8.34	4.17	0	0.00
2026-09-05	700792084	Тест РСЯ Свадебные банкеты	5598457353	свадьба в москве	17085710533	855	11	1.29	271.58	24.69	6	0.00
2026-09-05	700792084	Тест РСЯ Свадебные банкеты	5598457353	свадьба в москве	17085710534	1433	16	1.12	668.16	41.76	14	0.00
2026-09-05	700792084	Тест РСЯ Свадебные банкеты	5598457353	свадьба в москве	17085710535	6	0	0.00	0.00	--	0	0.00
2026-09-05	700792084	Тест РСЯ Свадебные банкеты	5598457353	свадьба в москве	17085710536	10	0	0.00	0.00	--	0	0.00
2026-09-05	700792084	Тест РСЯ Свадебные банкеты	5598457354	свадебный ресторан	17085710537	3	0	0.00	0.00	--	0	0.00
2026-09-05	700792084	Тест РСЯ Свадебные банкеты	5598457354	свадебный ресторан	17085710538	155	10	6.45	18.70	1.87	11	0.00
2026-09-05	700792084	Тест РСЯ Свадебные банкеты	5598457354	свадебный ресторан	17085710539	7	0	0.00	0.00	--	0	0.00
2026-09-05	700792084	Тест РСЯ Свадебные банкеты	5598457354	свадебный ресторан	17085710540	2	0	0.00	0.00	--	0	0.00
2026-09-05	700792084	Тест РСЯ Свадебные банкеты	5598457355	площадка для свадьбы	17085710541	2	2	100.00	0.72	0.36	1	0.00
2026-09-05	700792084	Тест РСЯ Свадебные банкеты	5598457355	площадка для свадьбы	17085710544	7	1	14.29	0.64	0.64	3	0.00
2026-09-05	700792084	Тест РСЯ Свадебные банкеты	5598457356	веранда для свадьбы	17085710545	1	0	0.00	0.00	--	0	0.00
2026-09-05	700792084	Тест РСЯ Свадебные банкеты	5598457356	веранда для свадьбы	17085710546	118	5	4.24	158.53	31.71	4	0.00
2026-09-05	700792084	Тест РСЯ Свадебные банкеты	5598457356	веранда для свадьбы	17085710547	2	0	0.00	0.00	--	0	0.00
2026-09-05	700792084	Тест РСЯ Свадебные банкеты	5598457356	веранда для свадьбы	17085710548	1	0	0.00	0.00	--	0	0.00
2026-09-05	700792084	Тест РСЯ Свадебные банкеты	5598457357	свадебный зал	17085710549	23	1	4.35	0.46	0.46	1	0.00
2026-09-05	700792084	Тест РСЯ Свадебные банкеты	5598457357	свадебный зал	17085710550	97	6	6.19	83.40	13.90	8	0.00
2026-09-05	700792084	Тест РСЯ Свадебные банкеты	5598457357	свадебный зал	17085710551	4	0	0.00	0.00	--	0	0.00
2026-09-05	700792084	Тест РСЯ Свадебные банкеты	5598457357	свадебный зал	17085710552	22	5	22.73	3.83	0.77	6	0.00
2026-09-05	700792084	Тест РСЯ Свадебные банкеты	5598457358	свадьба под ключ	17085710553	101	9	8.91	188.37	20.93	6	0.00
